feature,importance,method
GPA,1.182549952714735,absolute_coefficient
Stress_Index,0.3155379337314066,absolute_coefficient
Attendance_Rate,0.2532662500219234,absolute_coefficient
Internet_Access_Yes,0.24950252522223618,absolute_coefficient
Assignment_Delay_Days,0.21749660050493466,absolute_coefficient
Internet_Access_No,0.16294140821055908,absolute_coefficient
CGPA,0.16101312472762364,absolute_coefficient
Part_Time_Job_No,0.16051374537490135,absolute_coefficient
Department_CS,0.14265936871038723,absolute_coefficient
Semester_GPA,0.13838693953321407,absolute_coefficient
Semester_Year 1,0.1221842976485134,absolute_coefficient
Travel_Time_Minutes,0.11632427427723324,absolute_coefficient
Parental_Education_PhD,0.11164238651216885,absolute_coefficient
Gender_Male,0.07861514781111162,absolute_coefficient
Part_Time_Job_Yes,0.07395262836293645,absolute_coefficient
Parental_Education_Master,0.06616195535857586,absolute_coefficient
Semester_Year 2,0.0649590526829698,absolute_coefficient
Family_Income,0.059376760309849515,absolute_coefficient
Parental_Education_High School,0.0533220986814753,absolute_coefficient
Department_Arts,0.04679008823001654,absolute_coefficient
Scholarship_No,0.045449415573029006,absolute_coefficient
Scholarship_Yes,0.04111170143765849,absolute_coefficient
Age,0.039116339871357216,absolute_coefficient
Parental_Education_Bachelor,0.037921126178503656,absolute_coefficient
Study_Hours_per_Day,0.028540669244443168,absolute_coefficient
Department_Engineering,0.02563391786389422,absolute_coefficient
Semester_Year 3,0.02544844657202708,absolute_coefficient
Department_Business,0.009626889693610257,absolute_coefficient
Gender_Female,0.007945969200348945,absolute_coefficient
Department_Science,0.0066988647009846285,absolute_coefficient
Semester_Year 4,0.0038874254734334174,absolute_coefficient
